2026/08/05 19:05:41 INFO  : audios_processados/Clip 1_20260730_200527: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260801_231624: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260803_054933: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260801_142120: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260804_104056: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260805_020146: Copied (new)
2026/08/05 19:05:43 INFO  : audios_processados/Clip 1_20260804_223344: Copied (new)
2026/08/05 19:05:44 INFO  : audios_processados/Clip 1_20260805_182857: Copied (new)
2026/08/05 19:05:44 INFO  : audios_processados/Clip 20: Copied (new)
2026/08/05 19:05:44 INFO  :   225.926 MiB / 634.225 MiB, 36%, 1.495 MiB/s, ETA 4m33s (xfr#278/1883)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260719_210442: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260720_170549: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260722_131813: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260723_132804: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260723_033950: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260722_190556: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260724_142233: Copied (new)
2026/08/05 19:05:45 INFO  : audios_processados/Clip 20_20260725_112320: Copied (new)
2026/08/05 19:05:46 INFO  : audios_processados/Clip 20_20260727_021221: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 20_20260727_154910: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 20_20260728_135435: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 20_20260730_181600: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 20_20260805_012318: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 21_20260719_210600: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 20_20260805_134017: Copied (new)
2026/08/05 19:05:47 INFO  : audios_processados/Clip 21: Copied (new)
2026/08/05 19:05:48 INFO  : audios_processados/Clip 21_20260722_131913: Copied (new)
2026/08/05 19:05:49 INFO  : audios_processados/Clip 21_20260722_191017: Copied (new)
2026/08/05 19:05:50 INFO  : audios_processados/Clip 21_20260723_134758: Copied (new)
2026/08/05 19:05:50 INFO  : audios_processados/Clip 21_20260727_021539: Copied (new)
2026/08/05 19:05:50 INFO  : audios_processados/Clip 21_20260725_112636: Copied (new)
2026/08/05 19:05:50 INFO  : audios_processados/Clip 21_20260727_155238: Copied (new)
2026/08/05 19:05:50 INFO  : audios_processados/Clip 21_20260723_034600: Copied (new)
2026/08/05 19:05:51 INFO  : audios_processados/Clip 21_20260724_142844: Copied (new)
2026/08/05 19:05:51 INFO  : audios_processados/Clip 21_20260730_185054: Copied (new)
2026/08/05 19:05:52 INFO  : audios_processados/Clip 21_20260805_020023: Copied (new)
2026/08/05 19:05:52 INFO  : audios_processados/Clip 21_20260805_134703: Copied (new)
2026/08/05 19:05:52 INFO  : audios_processados/Clip 22: Copied (new)
2026/08/05 19:05:52 INFO  : audios_processados/Clip 21_20260728_135539: Copied (new)
2026/08/05 19:05:53 INFO  : audios_processados/Clip 22_20260719_211647: Copied (new)
2026/08/05 19:05:53 INFO  : audios_processados/Clip 22_20260720_183843: Copied (new)
2026/08/05 19:05:53 INFO  : audios_processados/Clip 22_20260721_103807: Copied (new)
2026/08/05 19:05:53 INFO  : audios_processados/Clip 22_20260721_082415: Copied (new)
2026/08/05 19:05:53 INFO  : audios_processados/Clip 22_20260721_122200: Copied (new)
2026/08/05 19:05:54 INFO  : audios_processados/Clip 22_20260721_150030: Copied (new)
2026/08/05 19:05:54 INFO  : audios_processados/Clip 22_20260721_181006: Copied (new)
2026/08/05 19:05:54 INFO  : audios_processados/Clip 22_20260722_132148: Copied (new)
